date,item_nbr,unit_sales
2016-01-02,1463881,7.08040061166058
2016-01-02,1463885,7.087683061191127
2016-01-02,1463992,7.173166664878801
2016-01-02,1463994,6.161216046825283
2016-01-02,1463998,6.414349232056878
2016-01-02,1464005,7.084070520389794
2016-01-02,1464025,6.5377743306304845
2016-01-02,1473393,7.109639433416461
2016-01-02,1473394,7.007630360078557
2016-01-02,1473396,6.310064846100084
2016-01-02,1473403,7.112461159688115
2016-01-02,1473404,7.180376447619114
2016-01-02,1473405,6.607625402758197
2016-01-02,1473406,7.087683061191127
2016-01-02,1473409,6.638700183884269
2016-01-02,1473410,7.275199557091271
2016-01-02,1473411,6.078337774384347
2016-01-02,1473412,6.957987783880056
2016-01-02,1473413,6.600387977259415
2016-01-02,1473414,6.633835741807611
2016-01-02,1473415,6.878819851256843
2016-01-02,1473428,7.156052381465318
2016-01-02,1473474,7.4507044838817595
2016-01-02,1473475,7.061279434804692
2016-01-02,1473476,7.0517796503098475
2016-01-02,1473477,6.931113244097411
2016-01-02,1473478,7.197605099827533
2016-01-02,1473479,6.8883050067123435
2016-01-02,1473480,6.598550230436855
2016-01-02,1473481,6.3481749578656
2016-01-02,1473482,7.018246455169477
2016-01-02,1473483,6.647886078832555
2016-01-02,1473484,6.436016627531252
2016-01-02,1473486,6.150072884183928
2016-01-02,1473509,5.968738496970555
2016-01-02,1489660,6.420030478079371
2016-01-02,1489741,6.693717440305358
2016-01-02,1489833,7.017116351057587
2016-01-02,1489850,6.737351448003589
2016-01-02,1489879,6.698067935179771
2016-01-02,1489895,6.870379087810791
2016-01-02,1489899,6.681970379894456
2016-01-02,1492315,6.226511014835565
2016-01-02,1501508,6.76639462773486
2016-01-02,1501524,6.646998942913891
2016-01-02,1501525,6.677432441421789
2016-01-02,1501579,6.375399955160673
2016-01-02,1501581,6.607625402758197
2016-01-02,1502392,7.198094008524876
2016-01-03,1463881,6.966319365965035
2016-01-03,1463885,7.131564112272743
2016-01-03,1463992,7.087683061191127
2016-01-03,1463994,6.161216046825283
2016-01-03,1463998,6.773791226501837
2016-01-03,1464005,7.098192343972326
2016-01-03,1464025,6.44951443477734
2016-01-03,1473393,7.090031379150514
2016-01-03,1473394,6.966319365965035
2016-01-03,1473396,6.604783771336665
2016-01-03,1473403,7.122210245803226
2016-01-03,1473404,7.241525262830515
2016-01-03,1473405,6.627923278454898
2016-01-03,1473406,7.009760537519804
2016-01-03,1473409,6.664812557620287
2016-01-03,1473410,7.131329169623006
2016-01-03,1473411,6.236201302253095
2016-01-03,1473412,6.796194021695036
2016-01-03,1473413,6.505976372848505
2016-01-03,1473414,6.719933610268973
2016-01-03,1473415,6.524554708460382
2016-01-03,1473428,6.589057257662935
2016-01-03,1473474,7.416288387976212
2016-01-03,1473475,6.970134436328944
2016-01-03,1473476,6.960998671787943
2016-01-03,1473477,6.89027445281339
2016-01-03,1473478,7.172113239098702
2016-01-03,1473479,7.05230783347587
2016-01-03,1473480,6.579747064270833
2016-01-03,1473481,6.338438773797326
2016-01-03,1473482,7.043506870929313
2016-01-03,1473483,6.581046359763315
2016-01-03,1473484,6.364983609588885
2016-01-03,1473486,6.227324974647813
2016-01-03,1473509,6.257066187133581
2016-01-03,1489660,6.540228358276828
2016-01-03,1489741,6.619746760935535
2016-01-03,1489833,6.857200900157317
2016-01-03,1489850,6.783288252518407
2016-01-03,1489879,6.802614307792342
2016-01-03,1489895,6.617935805169496
2016-01-03,1489899,6.698067935179771
2016-01-03,1492315,6.432363202993116
2016-01-03,1501508,6.931143890771157
2016-01-03,1501524,6.681970379894456
2016-01-03,1501525,6.564243231531823
2016-01-03,1501579,6.375399955160673
2016-01-03,1501581,6.550492863214452
2016-01-03,1502392,7.1841065183076385
2016-01-04,1463881,7.057076553666807
2016-01-04,1463885,7.207006017602313
2016-01-04,1463992,7.299472252253554
2016-01-04,1463994,6.878819851256843
2016-01-04,1463998,6.866057309469275
2016-01-04,1464005,7.289986983141491
2016-01-04,1464025,6.705807189178684
2016-01-04,1473393,7.238113767173681
2016-01-04,1473394,7.090800017345472
2016-01-04,1473396,6.538124157409094
2016-01-04,1473403,7.195270309213346
2016-01-04,1473404,7.330576874348659
2016-01-04,1473405,6.432363202993116
2016-01-04,1473406,7.004730446200703
2016-01-04,1473409,6.817101382198966
2016-01-04,1473410,7.276409504465039
2016-01-04,1473411,6.1787359270089315
2016-01-04,1473412,6.938458554624235
2016-01-04,1473413,6.649918824046532
2016-01-04,1473414,6.733484012495357
2016-01-04,1473415,6.874632625419423
2016-01-04,1473428,7.020576714462217
2016-01-04,1473474,7.495152419082479
2016-01-04,1473475,7.105751024445606
2016-01-04,1473476,7.1613727336271165
2016-01-04,1473477,6.99065099700114
2016-01-04,1473478,7.218443364643382
2016-01-04,1473479,6.938110809499753
2016-01-04,1473480,6.648540575014586
2016-01-04,1473481,6.282225667009643
2016-01-04,1473482,7.159047148735919
2016-01-04,1473483,6.730600851649978
2016-01-04,1473484,6.592896669888264
2016-01-04,1473486,6.3783464406583725
2016-01-04,1473509,6.281805685995836
2016-01-04,1489660,6.516505491525244
2016-01-04,1489741,6.730115235467355
2016-01-04,1489833,5.617012295157272
2016-01-04,1489850,6.895152670341646
2016-01-04,1489879,6.857200900157317
2016-01-04,1489895,6.906420386261556
2016-01-04,1489899,6.802614307792342
2016-01-04,1492315,6.664978557621421
2016-01-04,1501508,6.935706821379874
2016-01-04,1501524,6.934775162189019
2016-01-04,1501525,6.785346255160711
2016-01-04,1501579,5.800052903735844
2016-01-04,1501581,6.627923278454898
2016-01-04,1502392,7.287389309595018
2016-01-05,1463881,7.1815549480542185
2016-01-05,1463885,7.289291658785961
2016-01-05,1463992,7.163163822398108
2016-01-05,1463994,6.874632625419423
2016-01-05,1463998,6.7207125221848205
2016-01-05,1464005,7.185052114656592
2016-01-05,1464025,6.6735917843828005
2016-01-05,1473393,7.172375850633573
2016-01-05,1473394,7.111607352174202
2016-01-05,1473396,6.455787837012296
2016-01-05,1473403,7.233437599006111
2016-01-05,1473404,7.315344348376422
2016-01-05,1473405,6.48150460701653
2016-01-05,1473406,7.096473894063262
2016-01-05,1473409,6.818596751944429
2016-01-05,1473410,7.341975059088802
2016-01-05,1473411,6.400915220185729
2016-01-05,1473412,7.083399612974861
2016-01-05,1473413,6.698451813250754
2016-01-05,1473414,6.8590446553725695
2016-01-05,1473415,6.838574622042377
2016-01-05,1473428,7.093882266528148
2016-01-05,1473474,7.519232120465629
2016-01-05,1473475,7.127760015527666
2016-01-05,1473476,7.087607776452955
2016-01-05,1473477,7.054171034701032
2016-01-05,1473478,7.323810477778593
2016-01-05,1473479,7.27697727868777
2016-01-05,1473480,6.685675392270084
2016-01-05,1473481,6.334862357666533
2016-01-05,1473482,7.199442719955263
2016-01-05,1473483,6.7384765296300495
2016-01-05,1473484,6.430089470282045
2016-01-05,1473486,6.40520241119933
2016-01-05,1473509,6.355526848172117
2016-01-05,1489660,6.714764933200942
2016-01-05,1489741,6.722943328768208
2016-01-05,1489833,6.818596751944429
2016-01-05,1489850,6.964315186609818
2016-01-05,1489879,6.894941580048519
2016-01-05,1489895,6.917418571940165
2016-01-05,1489899,6.96926818099908
2016-01-05,1492315,6.874632625419423
2016-01-05,1501508,7.063829123316791
2016-01-05,1501524,6.963335605465437
2016-01-05,1501525,6.6147954774860205
2016-01-05,1501579,6.44951443477734
2016-01-05,1501581,6.574555658168466
2016-01-05,1502392,7.24722445747542
2016-01-06,1463881,7.033457975759693
2016-01-06,1463885,6.947865115088061
2016-01-06,1463992,5.143212870569726
2016-01-06,1463994,6.282723810177272
2016-01-06,1463998,6.195156162140293
2016-01-06,1464005,6.802614307792342
